AP,delta_50,delta_60,delta_70,delta_80,delta_90,delta_95
136,-0.16499999999999915,-0.1779999999999866,-0.06400000000000006,-0.1680000000000028,1.022000000000002,0.5425000000000004
137,-0.18500000000000227,-0.3059999999999903,-0.3400000000000034,0.36000000000000654,1.8979999999999961,1.0945000000000036
138,-0.09500000000000242,-0.022000000000002018,0.08999999999999986,0.5919999999999916,1.0129999999999946,1.615999999999996
139,0.014999999999997016,0.07000000000000739,0.40199999999999747,0.5580000000000034,1.2630000000000017,0.46799999999997866
140,-0.024999999999995026,-0.10000000000000497,0.15300000000000935,0.40000000000000213,1.2219999999999942,-0.553499999999989
141,0.18999999999999773,0.1280000000000001,0.21900000000000475,0.5640000000000036,-0.11999999999999744,-2.9695
142,-0.0799999999999983,-0.07600000000000406,0.09499999999999531,0.8420000000000023,1.0440000000000111,0.33949999999998326
143,-0.10499999999999687,0.06400000000000716,0.22799999999999443,0.7359999999999971,1.0359999999999978,-0.48200000000000287
144,0.2100000000000044,0.5100000000000016,0.44499999999999673,0.9880000000000031,1.533999999999999,2.526999999999994
145,-0.11499999999999488,0.14000000000000057,0.4890000000000079,0.7279999999999944,0.7269999999999932,2.082500000000003
146,-0.19000000000000128,0.11999999999999744,0.2999999999999936,0.39199999999999946,0.5409999999999968,1.4109999999999943
147,0.16499999999999915,0.11000000000000654,0.07999999999999474,0.19400000000000261,0.8169999999999966,0.17350000000000065
148,-0.29499999999999815,0.07400000000000517,0.5379999999999967,0.9340000000000082,1.2790000000000035,0.9440000000000062
149,0.12500000000000355,0.19399999999999906,0.24200000000000088,0.7180000000000106,0.9840000000000053,-0.09850000000000136
150,0.19000000000000128,0.06400000000000006,0.40299999999999514,0.8180000000000014,1.2190000000000012,3.008999999999997
151,0.09499999999999886,0.12599999999999767,0.42799999999999727,1.1800000000000033,1.9439999999999955,2.986999999999991
152,-0.06499999999999773,0.48400000000000176,0.9510000000000005,1.3340000000000032,1.4450000000000003,0.4975000000000058
153,0.23000000000000043,0.620000000000001,0.9100000000000001,1.1720000000000077,0.5809999999999924,0.10900000000000887
154,0.24999999999999645,0.43200000000000216,1.181999999999995,2.0179999999999936,1.6999999999999993,2.1504999999999974
155,0.3299999999999983,0.5100000000000016,0.9059999999999953,1.5679999999999978,2.038999999999998,2.6279999999999966
156,0.3100000000000094,0.6379999999999981,0.8699999999999974,1.1380000000000017,2.193999999999999,1.8415000000000035
157,-0.06500000000000128,0.3719999999999999,1.112999999999996,1.4180000000000064,2.2770000000000046,1.915499999999998
158,-0.41499999999999915,-0.07199999999999918,0.3759999999999941,0.9079999999999977,1.725999999999999,1.2454999999999998
159,-0.13000000000000256,0.2000000000000064,0.6069999999999993,1.1199999999999974,2.0109999999999957,2.4444999999999943
160,-0.09999999999999076,0.2939999999999898,0.5719999999999992,0.9939999999999998,2.083000000000002,2.3785000000000096
161,-0.1999999999999993,0.038000000000000256,0.6529999999999916,1.3100000000000023,1.7780000000000058,2.1720000000000006
162,-0.05499999999999616,0.3840000000000039,1.1200000000000045,1.5820000000000007,2.891000000000002,2.7589999999999932
163,-0.240000000000002,0.27199999999999847,0.6850000000000023,1.325999999999997,1.9340000000000082,2.7325000000000017
164,-0.29999999999999716,0.0800000000000054,0.7520000000000024,1.533999999999999,2.3530000000000015,-0.1735000000000042
165,-0.09999999999999432,-0.041999999999994486,0.8029999999999973,1.4079999999999977,2.4589999999999996,2.239000000000008
166,-0.10000000000000142,-0.07400000000000162,0.2080000000000055,1.141999999999996,1.8889999999999958,0.3080000000000318
167,0.12000000000000455,0.09600000000000719,0.5400000000000027,1.039999999999992,0.9140000000000015,-0.42499999999999716
168,0.06500000000000838,0.28800000000000026,0.7650000000000041,1.1720000000000041,2.562999999999999,3.099999999999987
169,0.03000000000000469,0.2740000000000009,0.24200000000000088,1.0040000000000084,1.4890000000000079,0.9520000000000195
170,-0.15000000000000213,0.32800000000000296,0.8640000000000008,1.2479999999999976,1.701000000000004,3.2659999999999947
171,-0.23999999999999844,-0.034000000000006025,0.3949999999999996,0.8740000000000023,1.6899999999999977,3.021500000000003
172,-0.4500000000000064,0.15200000000000458,0.47399999999999665,1.1260000000000012,2.4510000000000005,2.567499999999992
173,-0.09999999999999787,0.2600000000000122,0.7399999999999878,1.5159999999999947,1.7460000000000022,2.3964999999999925
174,0.2600000000000051,0.9320000000000022,1.3279999999999994,1.651999999999994,2.91800000000001,3.2989999999999924
175,0.34000000000000696,0.924000000000003,1.0459999999999923,1.4000000000000021,2.0790000000000077,4.143499999999996
176,0.29499999999999815,0.7580000000000027,1.6039999999999992,2.225999999999999,3.0340000000000025,3.2709999999999972
177,0.3999999999999915,0.671999999999997,0.7640000000000029,1.2700000000000031,2.332000000000008,1.5579999999999963
178,0.17499999999999716,0.6739999999999959,1.2429999999999986,1.3359999999999985,2.6490000000000045,1.9029999999999987
179,0.05000000000000071,0.6600000000000001,0.8279999999999959,1.2340000000000053,2.526999999999994,2.413999999999998
180,-0.44499999999999673,0.07000000000000384,0.5290000000000035,1.1619999999999955,2.1650000000000027,2.0195000000000114
181,-0.29499999999999815,0.08000000000000185,0.4650000000000034,0.7259999999999955,1.3029999999999973,0.333500000000015
182,-0.029999999999997584,0.15200000000000458,0.1720000000000077,0.45600000000000307,1.8919999999999995,3.570999999999991
183,-0.4100000000000037,0.02799999999999514,0.45899999999999963,1.032,1.6990000000000052,1.646499999999996
184,-0.14499999999999957,0.11400000000000432,0.7150000000000034,0.9059999999999881,1.990999999999996,3.8074999999999974
185,-0.11500000000000554,0.259999999999998,0.504999999999999,1.2499999999999964,2.5249999999999986,2.1620000000000132
186,0.020000000000003126,0.42199999999998994,1.0100000000000016,1.649999999999995,1.8180000000000085,3.1544999999999845
187,-0.03500000000000014,0.600000000000005,1.090999999999994,1.2419999999999973,2.5869999999999997,2.446999999999992
188,0.04499999999999815,0.7120000000000033,1.0269999999999975,1.3800000000000026,2.2880000000000003,1.0809999999999995
189,0.18999999999999773,0.5119999999999969,1.0189999999999948,1.519999999999996,1.8020000000000032,1.921500000000016
190,0.20500000000000185,0.32200000000000273,1.2120000000000033,1.3059999999999974,2.462999999999994,2.26850000000001
191,-0.3099999999999987,0.0379999999999967,0.3819999999999979,0.6259999999999941,1.1229999999999905,-0.6079999999999934
192,-0.11000000000000654,-0.08599999999999142,0.4450000000000003,1.1920000000000002,0.8959999999999937,0.5589999999999975
193,-0.49999999999999645,-0.25400000000000134,0.012000000000004007,0.3299999999999912,1.1140000000000043,0.7330000000000076
194,-0.20500000000000185,-0.1559999999999988,0.08200000000000074,0.6539999999999999,1.0310000000000024,0.70549999999999
195,-0.029999999999997584,0.06199999999999761,0.47600000000000975,0.8919999999999995,1.7380000000000067,2.4415000000000013
196,-0.029999999999997584,0.16000000000000725,0.41600000000000037,1.436,1.956000000000003,2.4354999999999976
197,0.28000000000000114,0.541999999999998,0.8829999999999885,1.4659999999999975,1.7809999999999988,2.2180000000000035
198,0.2149999999999963,0.5260000000000069,1.110000000000003,1.9460000000000086,3.296999999999997,4.512500000000003
199,-0.035000000000003695,0.43600000000000705,1.1950000000000003,1.9799999999999933,1.9149999999999991,2.9505000000000052
200,0.6400000000000006,0.8739999999999988,1.313999999999993,1.8820000000000014,2.9970000000000034,5.523499999999995
201,0.10999999999999588,0.5400000000000063,0.8539999999999992,1.9420000000000002,2.972999999999999,4.033500000000004
202,0.33999999999999986,0.504000000000012,0.7839999999999954,1.833999999999989,2.0989999999999966,-0.055499999999995
203,-0.2749999999999986,-0.047999999999998266,0.617999999999995,1.5500000000000043,3.090000000000007,3.0954999999999977
204,-0.03499999999999659,0.5599999999999987,1.443999999999992,2.2740000000000045,3.0420000000000016,3.1824999999999903
205,0.4150000000000027,0.8500000000000014,1.1410000000000018,1.5399999999999991,2.7950000000000053,1.6520000000000081
206,0.18000000000000327,0.5760000000000005,0.9020000000000081,1.431999999999995,2.1890000000000036,3.1015000000000015
207,0.2900000000000027,0.48400000000000176,0.9559999999999995,1.3440000000000047,1.6469999999999985,2.0364999999999966
208,0.134999999999998,0.3280000000000065,0.865000000000002,1.6219999999999963,2.664000000000005,0.9360000000000213
209,-0.10999999999999943,0.4220000000000077,0.8959999999999972,1.3500000000000014,2.3729999999999976,1.002500000000019
210,-0.025000000000005684,0.4199999999999946,1.0440000000000005,1.4019999999999975,2.068999999999999,2.0014999999999965
211,0.07000000000000384,0.490000000000002,0.6359999999999992,0.9400000000000048,0.6649999999999991,-1.1045000000000087
212,0.10000000000000497,0.4759999999999991,0.9740000000000002,1.4439999999999884,1.2360000000000007,-0.2909999999999897
213,-0.049999999999993605,0.6300000000000026,1.0009999999999977,1.6640000000000015,2.218,2.1059999999999945
214,-0.12499999999998934,0.044000000000004036,0.5879999999999939,0.7499999999999964,0.7619999999999969,0.7944999999999993
215,-0.4350000000000023,-0.08800000000000097,0.31800000000000495,0.8939999999999984,1.4679999999999929,-0.37299999999999756
216,-0.38500000000000156,-0.40399999999998926,0.1609999999999978,0.5539999999999949,1.391999999999996,-3.200499999999991
217,-0.30500000000000327,-0.132000000000005,-0.16100000000000847,0.3579999999999899,1.4520000000000088,0.6560000000000059
218,-0.6099999999999959,-0.5319999999999965,-0.31400000000000006,0.6960000000000015,1.2970000000000077,-0.9234999999999758
219,-0.5699999999999861,-0.3659999999999961,0.038999999999997925,0.3219999999999956,1.0869999999999962,1.5740000000000194
220,-0.6099999999999959,-0.45799999999999486,-0.16300000000000026,0.6020000000000003,1.4879999999999995,1.9635000000000105
221,-0.4949999999999939,-0.44199999999999307,0.0049999999999954525,0.4380000000000024,1.227999999999998,1.7630000000000017
222,-0.1999999999999993,-0.12400000000000233,0.3369999999999962,0.8859999999999921,1.4390000000000072,1.2224999999999966
223,-0.5750000000000028,-0.3359999999999985,-0.3349999999999973,0.1699999999999946,1.1899999999999942,1.2645000000000017
224,-0.45999999999999375,-0.519999999999996,-0.495000000000001,0.17599999999999838,1.6810000000000045,3.865500000000001
225,-0.5600000000000023,-0.360000000000003,-0.22600000000000264,0.10999999999999233,1.490000000000002,-0.559000000000001
226,-0.4299999999999997,-0.46999999999999886,-0.7589999999999968,-0.23400000000000176,0.6290000000000049,0.8115000000000343
227,-0.534999999999993,-0.5360000000000014,-0.35600000000000165,-0.13799999999999457,1.4950000000000045,0.6150000000000162
228,-0.7150000000000034,-0.477999999999998,-0.5979999999999954,-0.5180000000000042,-0.6870000000000012,-0.04050000000000864
229,-0.7549999999999955,-0.6819999999999986,-0.7710000000000008,-0.4920000000000009,-1.1340000000000074,-3.1239999999999917
230,-1.004999999999992,-0.7980000000000018,-0.2829999999999977,-0.20200000000000173,-0.5609999999999964,-1.146000000000008
231,-0.4899999999999949,-0.3639999999999972,-0.47799999999999443,-0.5899999999999999,-0.7660000000000018,-0.4789999999999992
232,-0.6449999999999925,-0.5579999999999963,-0.372000000000007,-0.4240000000000066,0.2900000000000027,2.8804999999999907
233,-0.514999999999997,-0.35999999999999943,-0.5330000000000048,-0.7280000000000015,-0.5829999999999949,-0.21399999999999508
234,-0.389999999999997,-0.3139999999999965,-0.46000000000000796,-0.4399999999999977,-0.19900000000000517,0.7624999999999993
235,-0.2900000000000027,-0.37400000000000233,-0.3760000000000012,-0.3520000000000003,0.04800000000000182,1.2875000000000014
236,-0.6949999999999932,-0.7699999999999996,-0.7430000000000057,-0.46999999999999886,-0.6819999999999986,-0.8009999999999948
237,-0.4349999999999987,-0.5000000000000036,-0.514999999999997,-0.5219999999999985,-0.5219999999999985,-0.5735000000000063
238,-0.14000000000000412,-0.20199999999999818,-0.08899999999999508,-0.2660000000000018,-0.4319999999999986,-0.18950000000000244
239,-0.32499999999999574,-0.33800000000000097,-0.12100000000000577,-0.132000000000005,-0.48600000000000776,-3.6984999999999886
