AP,mean,percentile_95,percentile_5,extra_time
0,1.0585498489425988,1.255,0.93,0.19645015105740105
1,1.0565656565656574,1.24,0.93,0.18343434343434262
2,1.0689808917197459,1.29,0.9265000000000001,0.22101910828025417
3,1.0661000000000007,1.22,0.93,0.15389999999999926
4,1.06584126984127,1.22,0.92,0.15415873015872994
5,1.0784142394822014,1.2579999999999991,0.94,0.17958576051779773
6,1.1091167192429023,1.29,0.928,0.1808832807570977
7,1.0714649681528665,1.27,0.9199999999999999,0.1985350318471335
8,1.0950158730158732,1.27,0.92,0.1749841269841268
9,1.066979865771812,1.27,0.9285,0.2030201342281881
10,1.0622756410256404,1.22,0.92,0.15772435897435955
11,1.0556333333333336,1.221,0.93,0.16536666666666644
12,1.0563606557377059,1.22,0.9200000000000002,0.1636393442622941
13,1.0646202531645585,1.24,0.94,0.17537974683544144
14,1.0595283018867925,1.22,0.9299999999999999,0.1604716981132075
15,1.0904666666666676,1.2710000000000001,0.93,0.18053333333333255
16,1.0672607260726072,1.2400000000000002,0.94,0.17273927392739297
17,1.0577124183006543,1.2775,0.94,0.21978758169934576
18,1.0625157232704403,1.22,0.9384999999999999,0.15748427672955967
19,1.0583168316831684,1.22,0.94,0.1616831683168316
20,1.068129032258065,1.22,0.9199999999999999,0.15187096774193498
21,1.071872909698997,1.27,0.93,0.19812709030100306
22,1.042751677852349,1.19,0.9299999999999999,0.14724832214765105
23,1.0593000000000008,1.2415000000000003,0.94,0.18219999999999947
24,1.0554794520547948,1.2289999999999996,0.9300000000000002,0.17352054794520488
25,1.0560750853242329,1.24,0.9300000000000002,0.1839249146757671
26,1.070970873786408,1.2579999999999991,0.924,0.18702912621359102
27,1.0854193548387097,1.29,0.96,0.20458064516129038
28,1.0831229235880395,1.27,0.96,0.1868770764119605
29,1.0610610932475881,1.205,0.93,0.14393890675241194
30,1.0712585034013615,1.2269999999999992,0.9365,0.15574149659863767
31,1.0521967213114762,1.22,0.9299999999999999,0.16780327868852374
32,1.0730990415335475,1.2519999999999993,0.94,0.17890095846645182
33,1.0560260586319223,1.22,0.93,0.16397394136807764
34,1.049369085173503,1.22,0.94,0.17063091482649706
35,1.0425786163522026,1.19,0.9384999999999999,0.14742138364779733
36,1.0492767295597498,1.22,0.9299999999999999,0.17072327044025015
37,1.0786900958466454,1.27,0.9300000000000002,0.19130990415335458
38,1.0460130718954255,1.19,0.93,0.14398692810457447
39,1.0590996784565918,1.19,0.93,0.13090032154340814
40,1.0562345679012353,1.22,0.94,0.1637654320987647
41,1.0485806451612902,1.19,0.9490000000000001,0.1414193548387097
42,1.0487423312883428,1.22,0.93,0.17125766871165715
43,1.052591463414635,1.19,0.94,0.137408536585365
44,1.0496319018404925,1.22,0.94,0.1703680981595075
45,1.041835443037975,1.1975,0.93,0.15566455696202497
46,1.0332727272727285,1.15,0.9345000000000001,0.11672727272727146
47,1.0488059701492556,1.22,0.94,0.1711940298507444
48,1.0366863905325454,1.15,0.9299999999999999,0.1133136094674545
49,1.044391691394659,1.1959999999999997,0.94,0.1516083086053408
50,1.0370029673590508,1.17,0.93,0.1329970326409491
51,1.0823030303030312,1.19,0.9300000000000002,0.10769696969696874
52,1.038040935672516,1.17,0.9305000000000001,0.13195906432748394
53,1.037634730538923,1.1569999999999991,0.94,0.11936526946107606
54,1.0422222222222226,1.19,0.9300000000000002,0.14777777777777734
55,1.0447774480712169,1.1539999999999997,0.93,0.10922255192878283
