Year,Month,meanpm,percentile_95pm,percentile_5pm,meanmid,percentile_95mid,percentile_5mid,mean,percentile_95,percentile_5
2016,1,1.1738602150537634,1.248366666666667,1.1141333333333332,1.3782651402793225,1.5950844827586201,1.1978,1.1300975698306759,1.2584666666666666,1.0192293103448278
2016,2,1.0996647509578543,1.149206896551724,1.0511896551724136,1.8600194991789818,2.0238571428571426,1.6940000000000004,1.2159816297208537,1.4447241379310345,1.0354033251231525
2016,3,1.1353850574712643,1.2567903225806452,1.067775806451613,2.0140053763440857,2.2791129032258066,1.8584193548387096,1.3120085125448029,1.5703548387096775,1.042845698924731
2016,4,1.2478687739463599,1.417983333333333,1.1216827586206894,2.1458862966003767,2.57015,1.802433333333333,1.0617169540229883,1.1038011494252873,1.0196867816091952
2016,5,1.0923928571428572,1.1504677419354836,1.0453870967741934,1.8358993855606762,2.128633870967742,1.5837695852534561,1.0847847222222222,1.1826451612903226,1.0447580645161292
2016,6,1.0855363984674329,1.1311724137931034,1.03565,2.55205459770115,2.8526747126436782,2.087726436781609,1.5006124281609188,2.1452,1.149256896551724
2016,7,1.054286552960079,1.096838709677419,1.0238709677419355,2.0676702508960574,2.313646774193548,1.8480790322580645,1.112620071684588,1.4740645161290322,1.021958064516129
2016,8,1.1322921146953402,1.2160059139784947,1.0541666666666665,2.797373655913978,3.2296129032258065,2.2249838709677414,1.0939375000000002,1.182967741935484,1.0358387096774193
2016,9,1.1057005336617405,1.2368000000000001,1.0479821428571428,2.5737534893267653,3.0892034482758617,2.0514666666666668,1.5090196360153263,1.7633189655172414,1.1235666666666666
2016,10,1.045327956989247,1.0614516129032256,1.0307096774193547,2.433685483870968,2.8094999999999994,2.094441935483871,1.0687173170807072,1.1363548387096776,1.037806451612903
2016,11,1.0527114121510672,1.086388095238095,1.0219214285714289,2.8424980842911878,3.5266833333333327,2.0319666666666665,1.0997969348659005,1.2903833333333332,1.0305666666666666
2016,12,1.0778246199480903,1.1092344827586207,1.0376451612903224,2.6079467309356072,3.0145016129032247,1.9147068965517238,1.2315484797923621,1.7036129032258067,1.0394720430107525
